134,"Elder Scrolls IV, The: Oblivion",https://www.igdb.com/games/the-elder-scrolls-iv-oblivion
135,Elite,https://www.igdb.com/games/elite
136,Myst,https://www.igdb.com/games/myst
137,Prince of Persia,https://www.igdb.com/games/prince-of-persia--2
138,Pitfall!,https://www.igdb.com/games/pitfall
139,Celeste,https://www.igdb.com/games/celeste
140,"Legend of Zelda, The: Majora's Mask",https://www.igdb.com/games/the-legend-of-zelda-majora-s-mask
141,NHL Hockey (Series),https://www.igdb.com/games/nhl-hockey
142,Dota 2,https://www.igdb.com/games/dota-2
143,FIFA Soccer (Series),https://www.igdb.com/games/fifa-international-soccer
144,Donkey Kong Country,https://www.igdb.com/games/donkey-kong-country
145,Left 4 Dead,https://www.igdb.com/games/left-4-dead
146,Shenmue,https://www.igdb.com/games/shenmue
147,Resident Evil 2 (1998) / Resident Evil 2 (2019),https://www.igdb.com/games/resident-evil-2
148,Defender,https://www.igdb.com/games/defender
149,Civilization V,https://www.igdb.com/games/sid-meier-s-civilization-v
150,Mortal Kombat II,https://www.igdb.com/games/mortal-kombat-ii
151,Bayonetta 2,https://www.igdb.com/games/bayonetta-2
152,Divinity: Original Sin II,https://www.igdb.com/games/divinity-original-sin-ii
153,Diablo,https://www.igdb.com/games/diablo
154,Wii Sports,https://www.igdb.com/games/wii-sports
155,Thief: The Dark Project,https://www.igdb.com/games/thief-the-dark-project
156,Rocket League,https://www.igdb.com/games/rocket-league
157,Doom II,https://www.igdb.com/games/doom-ii
158,Hotline Miami,https://www.igdb.com/games/hotline-miami
159,Command & Conquer,https://www.igdb.com/games/command-conquer
160,Fallout 2,https://www.igdb.com/games/fallout-2
161,Spider-Man (2018),https://www.igdb.com/games/marvels-spider-man
162,Quake III Arena,https://www.igdb.com/games/quake-iii-arena
163,Star Fox 64 (AKA Star Fox: Lylat Wars),https://www.igdb.com/games/star-fox-64
164,Command & Conquer: Red Alert,https://www.igdb.com/games/command-conquer-red-alert
165,Fez,https://www.igdb.com/games/fez
166,Gears of War,https://www.igdb.com/games/gears-of-war
